hydrex_epoch,aero_epoch,epoch_start,epoch_end,pair,pool_address,tvl_start_usd,tvl_end_usd,tvl_avg_usd,volume_usd,fees_usd,ohydx_distributed,hydx_price_at_report,incentives_usd,fees_tvl_pct,volume_tvl_pct,fees_volume_pct,tvl_per_incentive_usd,fees_per_incentive_usd
36,143,2026-05-21,2026-05-28,MAG7.ssi/USDC,0x88eaaa53405a6bf098bc38827f4642bcfd195256,4312.9,2081.33,3197.11,8199.63,22.84,8243.2051,0.04756,274.43,0.7144,256.4697,0.2785,11.65,0.0832
36,143,2026-05-21,2026-05-28,LFI/USDC,0x53ab4c60ff04b782f630a8685af95404f099aafd,6601.63,5550.2,6075.91,49672.26,564.49,10716.2912,0.04756,356.77,9.2906,817.5272,1.1364,17.03,1.5822
36,143,2026-05-21,2026-05-28,deSPXA/USDC,0xa3c25d3f65e11008465f477665cf2303a420cfb2,5873.88,7318.85,6596.36,19106.89,7.93,8235.8002,0.04756,274.19,0.1202,289.6579,0.0415,24.06,0.0289
36,143,2026-05-21,2026-05-28,AORA/USDC,0x7b5b9ac36bef2e808a02568704f651c607634c4b,19.57,1265.56,642.56,20405.96,254.68,4062.3383,0.04756,135.24,39.6349,3175.7036,1.2481,4.75,1.8831
36,143,2026-05-21,2026-05-28,DRB/WETH,0xa9a12101beddf0950c65c32a915ae21db002623d,91.16,1984.46,1037.81,4509.55,49.65,4062.3383,0.04756,135.24,4.7841,434.5256,1.101,7.67,0.3671
36,143,2026-05-21,2026-05-28,DIEM/USDC,0xe6D1dABdDDb884c20C0eFF3c50FBa364e6C14399,92.67,92.67,92.67,6.83,0.02,0.0,0.04756,0.0,0.0216,7.3702,0.2928,0,0
36,143,2026-05-21,2026-05-28,HOME/USDC,0x3343646E7d40099F1456405859F6c28A40423BbD,101.2,101.2,101.2,6.65,0.02,0.0,0.04756,0.0,0.0198,6.5711,0.3008,0,0
37,144,2026-05-28,2026-06-04,USDC/VVV,0x02107bab40bba06ae979a15f67b5ad3853c5e116,26384.91,28019.74,27202.33,214478.95,758.07,36017.797,0.04557,1148.93,2.7868,788.4582,0.3534,23.68,0.6598
37,144,2026-05-28,2026-06-04,USDC/ZEN,0x415233bf9b9156d4f777d580e67c0a4e398a84c3,380.87,167.15,274.01,1049.33,2.9,288.773,0.04557,9.21,1.0584,382.9532,0.2764,29.75,0.3148
37,144,2026-05-28,2026-06-04,cbMEGA/WETH,0x5bc54e33cfb988bfe5e578ef69c41d357c318bde,15.16,141.24,78.2,179.14,0.54,189.7515,0.04557,6.05,0.6905,229.0793,0.3014,12.92,0.0892
37,144,2026-05-28,2026-06-04,WETH/CHECK,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,1860.71,1046.39,1453.55,1190.72,4.3,4360.7976,0.04557,139.11,0.2958,81.9181,0.3611,10.45,0.0309
37,144,2026-05-28,2026-06-04,WETH/NOCK,0x467a8846e7b54eac5d4d1cb2fdc9b8752212ff0e,1735.12,2508.22,2121.67,80118.27,423.08,10473.6092,0.04557,334.1,19.9409,3776.189,0.5281,6.35,1.2663
37,144,2026-05-28,2026-06-04,SOSO/USDC,0x17ed8b5358ad5dbf6ef5f07cf5e398ea40579116,2662.59,2.49,1332.54,1013.83,0.07,4069.4068,0.04557,129.81,0.0053,76.0825,0.0069,10.27,0.0005
